Open,High,Low,Close,Adj Close,Volume
157.5,159.699997,157,158.899994,129.862549,583507
158.050003,160,155.5,157.050003,128.350677,367852
159.550003,159.75,157,157.949997,129.086151,13498
157.800003,167,156.5,161.399994,131.905701,122575
156,163.100006,156,162.050003,132.436905,23004
163,165.5,160,165,134.847839,65210
160.649994,167,160.649994,162,132.396011,30363
161.350006,162,160,160.050003,130.802383,9336
160.100006,163.75,160,160.149994,130.884079,11104
163.300003,163.300003,160,162.600006,132.886398,17152
174.899994,174.899994,162,164.399994,134.357468,24603
165,167,162,162.300003,132.641205,37823
164.25,164.399994,160.050003,160.449997,131.129333,22982
160.149994,166,160,162.75,133.008972,245968
160.75,163,160.550003,162.399994,132.722931,14194
161.5,164.949997,160.100006,160.800003,131.415359,37433
164.949997,164.949997,160.100006,163.199997,133.37674,26214
162.100006,166,162,165.75,135.460739,42843
168.899994,171,163.050003,167.699997,137.054382,87711
163.300003,168,163.300003,164.600006,134.52095,42414
169,169,162.5,162.75,133.008972,66583
160,162.850006,159.5,159.850006,130.638931,32743
161,165,159.25,160.75,131.374466,27644
159,160,153.100006,157.449997,128.67749,29840
163.899994,163.899994,158.100006,159.850006,130.638931,13202
161.899994,162.949997,157.050003,161.75,132.191711,11418
163,163,156.050003,156.949997,128.268875,295966
160.899994,165.5,158.100006,163.949997,133.989655,39819
165,167,165,165.25,135.052155,23334
172,179.100006,165,169.850006,138.811523,26707
176,188.199997,175,178.850006,146.16687,142114
178,183,172,173.5,141.794586,33172
174.100006,180,174.100006,175.899994,143.755951,36722
171,174.699997,166,173.100006,143.052444,30967
181,181,174.25,176.449997,145.820923,25568
178.199997,180,174.199997,174.850006,144.498642,25451
173,173,166,168.050003,138.879044,18049
163.600006,165,161,163.850006,135.408127,81183
166.149994,172.899994,157.5,158.199997,130.7388,141232
159.100006,161.949997,150.600006,150.949997,124.74733,71307
152.5,158,151.25,156.050003,128.962067,10425
162.899994,162.899994,158.050003,160.050003,132.2677,48600
